text,true,pred,confidence,correct
เอาจริงๆถ้ามันเปิดให้ใช้และถูกกฎหมายจริวคงกลัวจะเก็บภาษียังไงรึป่าว,neu,neg,0.748,False
สินออโต้เซอร์วิส อู่เชฟโรเลต อะไหล่เชฟโรเลต อู่ซาฟีร่า อะไหล่ซาฟีร่า ติดออยเกียร์ Cruze 1.8 ราคาเท่าไหร่ครับ ใช้ระยะเวลานานแค่ไหนคับ,neu,q,0.863,False
ตู้วหูวววว กะเพราเป็ดย่างงงง,neu,pos,0.725,False
มีแอลกอฮอลมั้ยคะ,q,neu,0.706,False
มันบ่แซบ,neu,neg,0.982,False
ไม่ๆ อยากินบาบีก้อนละอะ เห้อๆๆๆ,neu,neg,0.764,False
ก็เพิ่งรู้ว่ามีผ้าอนามัยแบบสอด😂,neu,neg,0.664,False
ต้องรออิอ้วน กลับมา เศร้า,neu,neg,0.726,False
มาชมเรวๆๆ,neu,pos,0.764,False
สิ้นเดือนเจอกัน,neu,pos,0.514,False
โดนผีสิงห์ .. ลุกมะไหวเบยยย #singha,neg,neu,0.5,False
จะเกมส์ได้ไง ผมเลิกแล้ว ไปๆๆ,neu,pos,0.833,False
อยากดู เทียน่า2011สีขาวพอจะมีไหมครับ,neu,q,0.642,False
นิโคติน มีผลต่อหลอกเลือดหัวใจ และ คาเฟอีน ก็ให้ผลเช่นเดียวกัน,neg,neu,0.876,False
ลีโอ..ต้องขอนแข่น.กับสิง.ถึงจะได้รสชาติ..ถ้าเป็นปทุมนี่ผมไม่กินเลยจืดมาก..,neu,neg,0.935,False
เป็นโปรโมชั่นเปิดสาขาใหม่นะคะ,pos,neu,0.968,False
ถ้าคนเจอที่กระทรวงกะลาโหม จะยึดอะไรคับ ?????,neu,neg,0.585,False
จดทะเบียนครับผม,pos,neu,0.702,False
มะกรุก สามตะกร้า ไปกัน,neu,pos,0.758,False
เทคนิคป้องกันแสงแดดที่ฟ้าจะแนะนำเพื่อนๆ คือ ก่อนออกจากบ้านทุกครั้งให้ทาครีมกันแดดก่อนออกบ้านอย่างน้อย 15 นาที และควรใช้ครีมกันแดดที่มีค่า spf50 ขึ้นไป เพราะจะมีประสิทธิภาพในการป้องกันแสงแดดได้ดีมาก ยิ่งอากาศประเทศไทยเราเป็นเมืองร้อน ทำให้ผิวคล้ำเสียง่ายและทำให้ใบหน้าเป็นฝ้ากระด้วยค่ะ ดังนั้นเราจึงควรดูแลผิวของเราให้สม่ำเสมอและเป็นประจำทุกวันค่ะ ฟ้าอยากได้ NIVEA Sun Instant Aura SPF 50 ไปลองใช้ค่ะ เพราะสรรพคุณเห็นว่าสามารถกันแดดด้วยค่า spf50+pa+++ ซึ่งกันแดดได้สูงมากๆ เนื้อครีมบางเบา เกลี่ยง่ายเรียบเนียน ไม่ตกร่อง ไม่ทำให้เป็นคราบ และผสมพิ้งค์ไพรมเมอร์ที่ช่วยปรับสีผิวให้สว่างขึ้น พร้อมสารที่บำรุงผิวให้ขาวกระจ่างใสอีกด้วย ซึ่งเชื่อว่ามันต้องดีกว่ากันแดดที่ใช้อยู่แน่ๆค่ะ,pos,neu,0.504,False
เบอร์8อิโดนิเชียเล่นดีจิงๆแต่ไทยก็ไม่คมถ้าเล่นแบบนี้ก็ยุแต่ในอาเชียนเถอะคับ คลองบอลก็น้อยกว่าเขา โค๊ชใหม่ก็ไม่เข้าใจเท่ากับโค๊ชคนไทยด้วยกัน บอลไทยกำลังกลับไปยุในยุกเดิม มืดมน ขอบคุณเบียร์ช้างที่สนับสนุน ผมอย่างเป็นทางการ,neu,neg,0.684,False
ว่าใคร,neu,pos,0.552,False
เฮ้อออ🙄🙄🙄🙄🙄,neu,neg,0.602,False
ได้ๆ ค่อยไปวันที่รร.ปิด,neu,pos,0.693,False
สาขาเซนทรัลพระรามสองเปิดยังค่ะ,neu,q,0.968,False
สมัยหนุ่มๆขับHonda city ไปไหนใกล้ไกล คล่องตัว ไม่ว่าการขับแบบทำความเร็ว ในการทำงาน และขับแบบสบายๆยามพักผ่อน ปัจจุบันใช้CRVใหม่7ที่นั่ง ชีวิตสะดวกสบายมากขึ้นทั้งการขนสัมภาระและการท่องเที่ยวกันทั้งครอบครัว,neu,pos,0.693,False
กลุ่ม cp. & เบียร์ช้าง กินรวบไปหมดแล้ว ที่เหลือ รอความตาย มีแต่ก้าง กระดูก ให้รุมแย่ง เนื้อๆหมดแล้ว,neu,neg,0.601,False
กินเบื่อแระ,neg,pos,0.371,False
ข้างตึกฟิศใหม่มีคอนโดของแสนสิริ คืออยากซื้อมาก เดิน 1 นาทีถึงที่ทำงาน เดิน 3 นาทีถึงบีทีเอสทองหล่อ ติดที่ไม่มีเงิน,pos,neg,0.708,False
